municipio,hhi,hhi_norm
COCAL DO SUL,0.27385656725985164,0.2378388754803541
CONCORDIA,0.358941970565594,0.33319155578203197
CORDILHEIRA ALTA,0.1386307654211576,0.08629534215619797
CORONEL FREITAS,0.28145473318575004,0.24635391399768808
CORONEL MARTINS,0.1796875,0.1323064032128127
CORREIA PINTO,0.22370235773176322,0.1816325448864857
CORUPA,0.17037921375796672,0.12187488373110152
CRICIUMA,0.08778360914689166,0.029312446758177152
CUNHA PORA,0.17247329518765775,0.1242216584930839
CUNHATAI,0.23458484462307616,0.19382822420536752
CURITIBANOS,0.2512089750556647,0.21245839263432797
DESCANSO,0.09615789252198796,0.03869725701231533
DIONISIO CERQUEIRA,0.1154509194159005,0.0603183783091895
DONA EMMA,0.36599939041501456,0.3411005962579687
DOUTOR PEDRINHO,0.2249275937314025,0.18300563042206106
ENTRE RIOS,0.3511111111111111,0.32441574454955135
ERMO,0.7394504152745911,0.7596160501227313
ERVAL VELHO,0.2028316405047707,0.15824335296761954
FAXINAL DOS GUEDES,0.5309607198777886,0.5259678507961165
FLOR DO SERTAO,0.4887013628981004,0.47860904659136827
FLORIANOPOLIS,0.12279677668748465,0.06855066202349666
FORMOSA DO SUL,0.1598433606265575,0.11006766655502809
FORQUILHINHA,0.2662508410133961,0.22931536433668168
FRAIBURGO,0.1318582963869878,0.07870563758198666
FREI ROGERIO,0.6779336734693878,0.6906760676268555
GALVAO,0.252318339100346,0.21370162391702596
GAROPABA,0.2141808602626234,0.17096208592532036
GARUVA,0.13839277563023875,0.08602863407741031
GASPAR,0.19969556656799997,0.1547288482009113
GOVERNADOR CELSO RAMOS,0.18696172863415927,0.1404584148440191
GRAO PARA,0.4352273552039483,0.41868231695258634
GRAVATAL,0.11790654674945215,0.06307032681009542
GUABIRUBA,0.4240882274174583,0.40619902781722145
GUARACIABA,0.16579981650466175,0.11674288946059541
GUARAMIRIM,0.15001352086533143,0.09905165755991469
GUARUJA DO SUL,0.23210707425270516,0.19105146066182552
GUATAMBU,0.7471452821265061,0.768239458491122
HERVAL D'OESTE,0.3301890039160045,0.30096896142220614
IBIAM,0.3481944444444444,0.3211471229833601
IBICARE,0.19632709050698466,0.15095389728723124
IBIRAMA,0.24124891720322117,0.20129645209821057
ICARA,0.0959531120399585,0.038467765618065086
ILHOTA,0.22955647233930337,0.1881930769746551
IMARUI,0.31552738795835217,0.28453812458298483
