municipio,def_mean,ppt_std,ws_std,dtr_mean
Chapadão do Lageado,1.0797619047619047,47.33200373140987,0.4483926614647565,9.438095238095238
Cerro Negro,5.2099206349206355,64.73476801400275,0.41613485383844545,10.08769841269841
Petrolândia,1.1916666666666667,46.949335792323645,0.42333915829355,9.63564814814815
Corupá,0.8845238095238097,52.91731491757882,0.3495162838712447,9.81547619047619
Criciúma,7.033333333333334,44.89845265695018,0.4885278524998365,10.204166666666666
Correia Pinto,1.4525252525252523,48.87476718875093,0.4174635791122828,10.14469696969697
Peritiba,7.364583333333333,75.45744076968091,0.36691495142368225,10.747916666666663
Coronel Freitas,8.070454545454545,82.50316213584512,0.34959931926887855,11.496212121212121
Pescaria Brava,4.843750000000001,58.2338428216995,0.5593989289954708,7.208333333333333
Coronel Martins,1.6633333333333336,71.74205942503964,0.4175701195975492,12.821666666666665
Palma Sola,2.078240740740741,80.45536496421447,0.4245403429841055,12.80972222222222
Canoinhas,3.8430555555555554,45.76791187426976,0.36277871442996334,12.005277777777776
Balneário Rincão,12.785416666666668,47.807474343379255,0.5371186403338728,9.477083333333333
Ouro,5.377083333333334,66.97348959240225,0.39818351723973944,10.938194444444443
Campos Novos,4.50814606741573,63.29450352998626,0.4167918190500305,10.608988764044943
Palhoça,1.2277777777777776,52.23723984578803,0.5277495269202803,6.5738095238095235
Painel,1.1528508771929826,46.014310099251254,0.46940180726465247,9.480701754385965
Canelinha,1.9648148148148148,58.0505327781693,0.4405321465582182,8.383333333333333
Paial,8.820833333333335,94.67199830422751,0.3155491645344767,10.535416666666665
Ouro Verde,1.0975000000000001,83.52877061051637,0.4086689378298905,12.540833333333333
Papanduva,2.147967479674797,45.077853091634225,0.3768066835988887,11.544918699186992
Catanduvas,1.503787878787879,63.878681906768385,0.4183980594776594,11.290909090909091
Passos Maia,1.296388888888889,65.76927184705646,0.4358822577505107,11.869166666666665
Passo de Torres,6.6722222222222225,44.86426406779185,0.4968834043626267,7.262499999999999
Paraíso,6.695454545454546,94.36037136486942,0.3549204466377208,12.691666666666666
Capinzal,7.4660714285714285,66.23677986715482,0.395145705166196,10.703571428571427
Palmeira,1.2211111111111113,45.00678290597468,0.41106910422488757,10.075
Capivari de Baixo,7.194444444444445,61.0411306387929,0.547316843679792,7.483333333333331
Palmitos,13.710964912280703,93.40368744121758,0.32576553875496983,11.596052631578948
Nova Itaberaba,9.933333333333334,83.60341472076884,0.3395953846031319,11.183333333333334
Xavantina,4.0159090909090915,87.56483641736082,0.3482369939740834,11.503787878787879
Capão Alto,3.481904761904762,55.38022684951597,0.43430905231948325,9.664523809523809
Nova Erechim,8.606250000000001,84.34514833793297,0.35951038927232326,11.5625
Xaxim,5.8,91.61478914238849,0.3371594119828371,11.358888888888886
Nova Trento,1.5358333333333334,54.497125452747675,0.4252325110518381,8.553749999999999
Campo Alegre,1.0145061728395064,63.280793481665555,0.3443896670370974,9.87283950617284
