municipio,def_mean,ppt_std,ws_std,dtr_mean
São Cristóvão do Sul,0.06659190124805156,0.1408215757429298,0.283298372888773,0.5994254052944795
Irati,0.13188350936417906,0.5972954132230619,0.3114473941679817,0.9036527806279504
São Carlos,0.7662971112265541,0.7873069165140727,0.09856840169470617,0.7404649526545688
São Domingos,0.08263158874560957,0.539296962710678,0.4253364225629367,0.9653396265134414
Irineópolis,0.17584774362272199,0.01852104889281747,0.1294021903476871,0.8561917139795243
São Bonifácio,0.07874515449757777,0.20301152510758524,0.7004185019003122,0.20191257951980301
Ipumirim,0.18254588051542364,0.6797091440382068,0.2268968444204031,0.7774708361615813
Irani,0.10787745031116587,0.5046320007654711,0.35643161542439206,0.7578373027848532
Iraceminha,0.5117259664688704,0.8802086474391954,0.1399648881820784,0.8646282235447019
São João Batista,0.09992594707077226,0.2470609820886258,0.482307326488945,0.2773650728504
Itaiópolis,0.12578733733773262,0.0755373746812623,0.2577510502685139,0.7361714829393877
São João do Itaperiú,0.0993899711832518,0.44240398262054836,0.3347790136890542,0.30179902866133096
Itá,0.5800019857768732,0.8213074287720094,0.10108433226721616,0.6521649907654422
São João do Oeste,0.9741269821569675,0.9767270338049162,0.019556359156254397,0.8513578220124496
São Francisco do Sul,0.07677087513462602,0.567778913094769,0.3631566788735939,0.14139134003693793
Santa Helena,0.7232902667973969,0.9644484550172323,0.06133932857126464,0.8846295916273342
Santa Cecília,0.06568880708020755,0.15166928487282288,0.36410380631364764,0.6889970774924462
Imbituba,0.13464921138707642,0.2507031009778705,1.0,0.005522078988115997
Santa Rosa de Lima,0.07719237476724476,0.18853732373942483,0.6890630598858972,0.3360632800402963
Imbuia,0.048198183289963406,0.13988511790465535,0.49220552202436274,0.4299199671660168
Salto Veloso,0.0994508775341064,0.24375277162821113,0.45473752133370315,0.7463574799917915
Imaruí,0.18226321257940614,0.24659285035178544,0.9020047205324584,0.09435209886677147
Sangão,0.6190581832623832,0.2398714277896281,0.8234654034569774,0.41606813051508307
São Bento do Sul,0.05283467924876956,0.26470638522057205,0.16703779043933525,0.5622306587317872
Ipira,0.4690306145197981,0.5268795850329192,0.27812821133766447,0.6565428551884532
São Bernardino,0.08397457378195343,0.5548926574186732,0.4063307639807135,0.9487789862507696
Iomerê,0.12457474726162747,0.23602473311728578,0.37499644856317876,0.7268623024830698
Ipuaçu,0.08210662285228207,0.7013986887272292,0.33222584552038525,0.9326114066520385
Iporã do Oeste,0.8428737960653118,1.0,0.024490987172796328,0.8443806005882758
Santa Terezinha,0.0918013690902872,0.05462709848916303,0.2048568884250547,0.7048768448316982
Santa Rosa do Sul,0.29516582271149555,0.03681921339366295,0.5510854189364036,0.24507490252411226
Santo Amaro da Imperatriz,0.0529650009259658,0.21762276107361161,0.6488762698177517,0.12409314228461737
Santiago do Sul,0.13117090505918028,0.5892723538606349,0.3276194217288189,0.9173814898419865
