municipio,empregos,empresas,populacao,empregos_pc,empresas_pc,exposure_index_pc
SAO JOSE,20932,1458,270299.0,0.14464823854865877,0.19862177487095917,0.17163500670980897
SAO JOSE DO CEDRO,1191,121,14167.0,0.15752142020175502,0.3382354292723212,0.2478784247370381
SAO JOSE DO CERRITO,118,27,8708.0,0.02056780184150873,0.09687431106655983,0.05872105645403428
SAO LOURENCO DO OESTE,5967,202,24791.0,0.4617020616855594,0.3208064094473841,0.39125423556647176
SAO LUDGERO,4029,167,13509.0,0.5734773054904245,0.5077600115982408,0.5406186585443327
SAO MARTINHO,336,39,3405.0,0.1858953063999136,0.46745974676686414,0.3266775265833889
SAO MIGUEL DA BOA VISTA,21,9,1781.0,0.017150403295390717,0.18350732893887203,0.10032886611713138
SAO MIGUEL DO OESTE,7063,345,44330.0,0.3036831905120354,0.304587616528394,0.30413540352021473
SAO PEDRO DE ALCANTARA,126,40,5776.0,0.03661673490510506,0.2665522694716981,0.15158450218840158
SAUDADES,2242,74,10265.0,0.41843158269291547,0.2791409823002334,0.3487862824965744
SCHROEDER,3348,182,20061.0,0.3183718037113974,0.36180882075902265,0.34009031223521
SEARA,5126,112,18620.0,0.5289053664053674,0.22617278227309695,0.3775390743392322
SERRA ALTA,360,28,3303.0,0.20592511417451714,0.33540347028085443,0.2706642922276858
SIDEROPOLIS,2638,126,13714.0,0.36783196071314206,0.36692682967297513,0.3673793951930586
SOMBRIO,2667,267,29991.0,0.1669563356126364,0.3542819567583067,0.26061914618547155
SUL BRASIL,158,16,2832.0,0.10260303680472523,0.20996544204157783,0.15628423942315153
TAIO,2745,164,18310.0,0.2854085089767069,0.3566857896467059,0.3210471493117064
TANGARA,1421,51,8143.0,0.33316046373043445,0.23717570689597076,0.2851680853132026
TIGRINHOS,82,6,2329.0,0.06262908097644887,0.07361012886427269,0.06811960492036079
TIJUCAS,8550,477,51592.0,0.31610416465315294,0.3694967948095801,0.3428004797313665
TIMBE DO SUL,246,41,5386.0,0.08295470000630602,0.29703621046859163,0.18999545523744882
TIMBO,10775,561,46099.0,0.44819253724100794,0.49921235954429066,0.4737024483926493
TIMBO GRANDE,984,58,7342.0,0.25453930555667226,0.30978782358193385,0.282163564569303
TRES BARRAS,4303,90,19746.0,0.41747115558764514,0.16152655319377807,0.2894988543907116
TREVISO,1208,32,3782.0,0.6145765023560914,0.3346931763519163,0.47463483935400386
TREZE DE MAIO,1457,110,7362.0,0.3786106921743314,0.6221972869742306,0.500403989574281
TREZE TILIAS,2994,91,8787.0,0.6559879856200297,0.4187677974741241,0.5373778915470769
TROMBUDO CENTRAL,1322,99,7274.0,0.34721647452521154,0.5631267651734657,0.4551716198493386
TUBARAO,12045,1017,110088.0,0.20674205303889004,0.3691616020603179,0.28795182754960397
TUNAPOLIS,249,35,4916.0,0.09262052935072564,0.27517685481720894,0.18389869208396728
TURVO,2194,139,13043.0,0.32093898924148667,0.4321149106075911,0.3765269499245389
UNIAO DO OESTE,151,11,2774.0,0.09996772544902204,0.1352407744720779,0.11760424996054997
URUBICI,201,55,10834.0,0.030282145852873574,0.18453969042821966,0.10741091814054662
URUPEMA,52,8,2656.0,0.03227399376517401,0.09294585711836184,0.06260992544176792
URUSSANGA,4589,206,20919.0,0.42029187591951084,0.3961993968532195,0.40824563638636513
VARGEAO,653,20,3634.0,0.34323243365905676,0.20348196661010853,0.27335720013458265
VARGEM,94,12,2627.0,0.06374388718935584,0.16197299977617666,0.11285844348276625
VARGEM BONITA,1376,22,4576.0,0.5782426415915074,0.17260918993147428,0.37542591576149087
VIDAL RAMOS,297,29,6189.0,0.08744951969494724,0.16719848264181017,0.12732400116837872
VIDEIRA,9951,377,55466.0,0.342679717589526,0.2608624409838814,0.30177107928670366
VITOR MEIRELES,466,70,5370.0,0.16278413466567893,0.5376287151904265,0.35020642492805276
WITMARSUM,878,79,4255.0,0.3949968775344174,0.7830107175780187,0.589003797556218
XANXERE,4730,365,51607.0,0.17225355479635607,0.27309501592711743,0.22267428536173675
XAVANTINA,37,14,3653.0,0.0139217045762239,0.12934352266722965,0.07163261362172678
XAXIM,5799,194,31918.0,0.34710212510104654,0.22896942509304816,0.28803577509704736
ZORTEA,30,13,3930.0,0.009075990403772069,0.10607072304813935,0.057573356725955704
