municipio,risk_norm
SAO JOSE,0.1207683268426848
DIONISIO CERQUEIRA,0.1198377078607255
IMARUI,0.11962283575295458
BARRA VELHA,0.11958967897275687
IMBITUBA,0.11781031965038768
XAVANTINA,0.11751290664968907
BOCAINA DO SUL,0.11679507991614879
PRESIDENTE NEREU,0.1158480185902001
GOVERNADOR CELSO RAMOS,0.11437470544736623
PASSO DE TORRES,0.11396319108651565
BALNEARIO GAIVOTA,0.11217996964729972
JACINTO MACHADO,0.11092487279336921
SAO PEDRO DE ALCANTARA,0.10906942625894456
SANTA TEREZINHA,0.10839946016555459
ANITA GARIBALDI,0.09607860212023714
ANGELINA,0.09496158967312902
SAO JOAQUIM,0.09468232954198774
URUBICI,0.09416661526887521
CORONEL MARTINS,0.09384264403536371
BOM JARDIM DA SERRA,0.0929049169950116
RIO RUFINO,0.0908627880592805
IMBUIA,0.09029376552305561
TIGRINHOS,0.08861577669951458
SANTA ROSA DO SUL,0.08637693116942341
ARAQUARI,0.08553794059891162
ALFREDO WAGNER,0.08540397359595382
PIRATUBA,0.07935560178643654
IRINEOPOLIS,0.07840229259176319
BALNEARIO ARROIO DO SILVA,0.0745580153579076
CERRO NEGRO,0.07303565222534972
ROMELANDIA,0.07007276979971301
FLORIANOPOLIS,0.06883182305331628
ZORTEA,0.06317072597728893
URUPEMA,0.0593407113000303
ABDON BATISTA,0.05435815516212758
BALNEARIO BARRA DO SUL,0.054028130454970826
FREI ROGERIO,0.05364897806255232
BELA VISTA DO TOLDO,0.0527264738988172
SAO JOSE DO CERRITO,0.05128793002706674
ITAJAI,0.047531302832654644
ITAPOA,0.047111224145638536
PAINEL,0.04007166091795114
PRESIDENTE CASTELLO BRANCO,0.03970225655684734
CHAPADAO DO LAGEADO,0.03897025278561356
SAO FRANCISCO DO SUL,0.03137484988613512
ENTRE RIOS,0.027435713760169553
LEOBERTO LEAL,0.026717041449967133
OURO VERDE,0.0
