municipio,def_mean,ppt_std,ws_std,dtr_mean,hazard_mean,hazard_max,hazard_index
Joaçaba,0.13274791103592312,0.39981746310975325,0.3868587730824139,0.7096560324551294,0.40727004492080493,0.7096560324551294,0.5584630386879672
Anchieta,0.19999203620733158,0.7282671689157886,0.3628742512986213,0.9311512415349887,0.5555711744891826,0.9311512415349887,0.7433612080120857
São Pedro de Alcântara,0.05306634090469866,0.22297002721742662,0.5756156124165004,0.1626454809299053,0.25357436536713274,0.5756156124165004,0.41459498889181656
Itapoá,0.05788229307584426,0.599688966072875,0.24167124323196174,0.11922840139544405,0.25461772594403126,0.599688966072875,0.4271533460084531
São José,0.0746793945508155,0.19045252323331432,0.742156372368509,0.08577878103837464,0.27326676779775333,0.742156372368509,0.5077115700831312
Itapiranga,1.0,0.9848574364746696,0.03337217413799619,0.8696901292838087,0.7219799349741186,1.0,0.8609899674870594
Agrolândia,0.0769581621635039,0.09102573781599568,0.31918436083700275,0.5266981325672072,0.2534665983459274,0.5266981325672072,0.39008236545656727
São João do Sul,0.2631671486312619,0.036767055981393786,0.5927733773391894,0.17525138518366484,0.26698974178387747,0.5927733773391894,0.42988155956153346
Abdon Batista,0.30836519790635925,0.452119882275685,0.42127473083729977,0.5977650504635933,0.44488121537073433,0.5977650504635933,0.5213231329171638
Itajaí,0.12528454050427915,0.32743297837318747,0.5780112679357315,0.4141501839018767,0.36121974267876866,0.5780112679357315,0.4696155053072501
São Joaquim,0.06680681365749563,0.13070760122385502,0.8622991076329133,0.42181114596464464,0.3704061671197272,0.8622991076329133,0.6163526373763202
Itapema,0.1085868301622959,0.3426906156717674,0.739645520551985,0.372050071824338,0.39074325955259653,0.739645520551985,0.5651943900522908
Abelardo Luz,0.07305939437942406,0.5825299169778242,0.4034701976026431,0.9245331418017648,0.49589816269041403,0.9245331418017648,0.7102156522460894
São José do Cerrito,0.19202494810657222,0.2791850917935462,0.38705116628816283,0.5778298185681003,0.3590227561890954,0.5778298185681003,0.46842628737859787
Jaborá,0.15676375368828174,0.45124708415825904,0.34473499007588565,0.7208427389014295,0.418397141705964,0.7208427389014295,0.5696199403036968
Água Doce,0.07407747357808404,0.27689079668555944,0.49077262227781787,0.7650011792055523,0.40168551793675344,0.7650011792055523,0.5833433485711529
Jacinto Machado,0.12590859634534313,0.026193183234397663,0.5165557494293269,0.3545906012723166,0.25581203257034607,0.5165557494293269,0.3861838909998365
Águas de Chapecó,0.802371072747005,0.76430961720151,0.08388419464118187,0.7389698337779598,0.5973836795919142,0.802371072747005,0.6998773761694597
São José do Cedro,0.26002438092716473,0.7667159534002811,0.3397090984028463,0.9549764005745943,0.5803564583262216,0.9549764005745943,0.767666429450408
Ituporanga,0.07985185494857991,0.1395408612287364,0.41866067418887015,0.46909393327356974,0.27678683090993905,0.46909393327356974,0.3729403820917544
Agronômica,0.08624942598637261,0.12084213852811462,0.2945632227580155,0.5176482659552635,0.25482576330694157,0.5176482659552635,0.3862370146311025
São Cristóvão do Sul,0.06659190124805156,0.1408215757429298,0.283298372888773,0.5994254052944795,0.27253431379355847,0.5994254052944795,0.43597985954401897
Irati,0.13188350936417906,0.5972954132230619,0.3114473941679817,0.9036527806279504,0.48606977434579324,0.9036527806279504,0.6948612774868719
São Carlos,0.7662971112265541,0.7873069165140727,0.09856840169470617,0.7404649526545688,0.5981593455224754,0.7873069165140727,0.692733131018274
São Domingos,0.08263158874560957,0.539296962710678,0.4253364225629367,0.9653396265134414,0.5031511501331664,0.9653396265134414,0.7342453883233039
Irineópolis,0.17584774362272199,0.01852104889281747,0.1294021903476871,0.8561917139795243,0.2949906742106877,0.8561917139795243,0.575591194095106
São Bonifácio,0.07874515449757777,0.20301152510758524,0.7004185019003122,0.20191257951980301,0.29602194025631956,0.7004185019003122,0.4982202210783159
Ipumirim,0.18254588051542364,0.6797091440382068,0.2268968444204031,0.7774708361615813,0.4666556762839037,0.7774708361615813,0.6220632562227425
Irani,0.10787745031116587,0.5046320007654711,0.35643161542439206,0.7578373027848532,0.43169459232147056,0.7578373027848532,0.5947659475531619
Iraceminha,0.5117259664688704,0.8802086474391954,0.1399648881820784,0.8646282235447019,0.5991319314087115,0.8802086474391954,0.7396702894239534
São João Batista,0.09992594707077226,0.2470609820886258,0.482307326488945,0.2773650728504,0.2766648321246858,0.482307326488945,0.3794860793068154
Itaiópolis,0.12578733733773262,0.0755373746812623,0.2577510502685139,0.7361714829393877,0.29881181130672413,0.7361714829393877,0.517491647123056
São João do Itaperiú,0.0993899711832518,0.44240398262054836,0.3347790136890542,0.30179902866133096,0.29459299903854635,0.44240398262054836,0.36849849082954733
Itá,0.5800019857768732,0.8213074287720094,0.10108433226721616,0.6521649907654422,0.5386396843953852,0.8213074287720094,0.6799735565836973
São João do Oeste,0.9741269821569675,0.9767270338049162,0.019556359156254397,0.8513578220124496,0.705442049282647,0.9767270338049162,0.8410845415437815
São Francisco do Sul,0.07677087513462602,0.567778913094769,0.3631566788735939,0.14139134003693793,0.28727445178498173,0.567778913094769,0.42752668243987535
Santa Helena,0.7232902667973969,0.9644484550172323,0.06133932857126464,0.8846295916273342,0.658426910503307,0.9644484550172323,0.8114376827602696
Santa Cecília,0.06568880708020755,0.15166928487282288,0.36410380631364764,0.6889970774924462,0.31761474393978106,0.6889970774924462,0.5033059107161136
Imbituba,0.13464921138707642,0.2507031009778705,1.0,0.005522078988115997,0.34771859783826575,1.0,0.6738592989191329
Santa Rosa de Lima,0.07719237476724476,0.18853732373942483,0.6890630598858972,0.3360632800402963,0.3227140096082158,0.6890630598858972,0.5058885347470565
Imbuia,0.048198183289963406,0.13988511790465535,0.49220552202436274,0.4299199671660168,0.27755219759624955,0.49220552202436274,0.3848788598103061
Salto Veloso,0.0994508775341064,0.24375277162821113,0.45473752133370315,0.7463574799917915,0.386074662621953,0.7463574799917915,0.5662160713068722
Imaruí,0.18226321257940614,0.24659285035178544,0.9020047205324584,0.09435209886677147,0.35630322058260533,0.9020047205324584,0.6291539705575319
Sangão,0.6190581832623832,0.2398714277896281,0.8234654034569774,0.41606813051508307,0.5246157862560179,0.8234654034569774,0.6740405948564976
São Bento do Sul,0.05283467924876956,0.26470638522057205,0.16703779043933525,0.5622306587317872,0.261702378410116,0.5622306587317872,0.4119665185709516
Ipira,0.4690306145197981,0.5268795850329192,0.27812821133766447,0.6565428551884532,0.48264531651970877,0.6565428551884532,0.569594085854081
São Bernardino,0.08397457378195343,0.5548926574186732,0.4063307639807135,0.9487789862507696,0.49849424535802744,0.9487789862507696,0.7236366158043985
Iomerê,0.12457474726162747,0.23602473311728578,0.37499644856317876,0.7268623024830698,0.3656145578562905,0.7268623024830698,0.5462384301696801
Ipuaçu,0.08210662285228207,0.7013986887272292,0.33222584552038525,0.9326114066520385,0.5120856409379837,0.9326114066520385,0.7223485237950111
Iporã do Oeste,0.8428737960653118,1.0,0.024490987172796328,0.8443806005882758,0.677936345956596,1.0,0.8389681729782981
Santa Terezinha,0.0918013690902872,0.05462709848916303,0.2048568884250547,0.7048768448316982,0.2640405502090508,0.7048768448316982,0.4844586975203745
Santa Rosa do Sul,0.29516582271149555,0.03681921339366295,0.5510854189364036,0.24507490252411226,0.2820363393914186,0.5510854189364036,0.4165608791639111
Santo Amaro da Imperatriz,0.0529650009259658,0.21762276107361161,0.6488762698177517,0.12409314228461737,0.2608892935254866,0.6488762698177517,0.45488278167161916
Santiago do Sul,0.13117090505918028,0.5892723538606349,0.3276194217288189,0.9173814898419865,0.4913610426226552,0.9173814898419865,0.7043712662323208
Santa Terezinha do Progresso,0.15006405509427612,0.6621272185506615,0.3540349824949643,0.9129899445926531,0.5198040501831388,0.9129899445926531,0.716396997387896
Indaial,0.12054662269374393,0.26915049510940176,0.22507158853611658,0.41105908251403844,0.2564569472133252,0.41105908251403844,0.33375801486368184
Rio Negrinho,0.06568805100136936,0.12231150504512309,0.29995659062953894,0.6661276421095834,0.2885209471964037,0.6661276421095834,0.47732429465299353
Rodeio,0.10520652768986577,0.19999749432402394,0.18427459427026394,0.4487995074902522,0.23456953094360147,0.4487995074902522,0.34168451921692683
Ibicaré,0.13373353977138744,0.3366361603187208,0.3857619797414121,0.7075723373691774,0.39092600430017443,0.7075723373691774,0.5492491708346758
Riqueza,0.76944509947501,0.9488161082707498,0.06747355312023967,0.8458444490047197,0.6578948024676798,0.9488161082707498,0.8033554553692148
Ibirama,0.12397438466034644,0.1403847095336016,0.2310853872764776,0.5113599718565855,0.2517011133317528,0.5113599718565855,0.3815305425941692
