municipio,energia_norm,pib_pc_inv,agro_pc_norm,vulnerability_index,def_mean,ppt_std,ws_std,dtr_mean,hazard_index,empregos_pc,empresas_pc,exposure_index_pc,climate_risk_index,risk_norm,rank_risk
IRACEMINHA,0.3630451098021594,0.7589122797742881,0.3901972814093664,0.5040515569952714,0.5117259664688704,0.8802086474391954,0.1399648881820784,0.8646282235447019,0.7396702894239534,0.0527187223133734,0.1707898389352568,0.1117542806243151,0.0416655676005922,0.2029917394472213,181.0
IRANI,0.0514416384900246,0.9151107365890456,0.162658230018236,0.3764035350324355,0.1078774503111658,0.5046320007654711,0.356431615424392,0.7578373027848532,0.5947659475531619,0.0592100393578705,0.1725464261798867,0.1158782327688786,0.02594189232621158,0.12621984650112067,243.0
IRATI,0.009886235797397,0.8921969880930362,0.1949656875884963,0.3656829704929765,0.131883509364179,0.5972954132230619,0.3114473941679817,0.9036527806279504,0.6948612774868719,0.1594570050269774,0.0879727208894885,0.123714862958233,0.03143581504902473,0.1530442905175388,220.0
IRINEOPOLIS,0.0208382345395846,0.7741186696879736,0.3603214355368861,0.3850927799214814,0.1758477436227219,0.0185210488928174,0.1294021903476871,0.8561917139795243,0.575591194095106,0.0354155613929298,0.1102909684263621,0.072853264909646,0.01614836423626606,0.07840229259176319,275.0
ITA,0.4957589881027699,0.6952045072384706,0.1874167536469312,0.4594600829960572,0.5800019857768732,0.8213074287720094,0.1010843322672161,0.6521649907654422,0.6799735565836973,0.1621622457469099,0.2857593621606802,0.223960803953795,0.06996999265399072,0.3411899820451838,65.0
ITAIOPOLIS,0.1919114187362538,0.7651226368775456,0.3679353841442385,0.4416564799193459,0.1257873373377326,0.0755373746812623,0.2577510502685139,0.7361714829393877,0.517491647123056,0.25882403852919,0.1625205902508244,0.2106723143900072,0.04814990307709588,0.2346519397720052,147.0
ITAJAI,0.097512844488483,0.1783004198758289,0.003446664896173,0.0930866430868283,0.1252845405042791,0.3274329783731874,0.5780112679357315,0.4141501839018767,0.4696155053072501,0.2030807397673688,0.2464529555647081,0.2247668476660385,0.009825667221204286,0.047531302832654644,287.0
ITAPEMA,0.0224919358736967,0.8326076188071291,0.0007538978254101,0.2852844841687453,0.1085868301622959,0.3426906156717674,0.739645520551985,0.372050071824338,0.5651943900522908,0.2786881235359461,0.6317406231208303,0.4552143733283882,0.07339930727019517,0.35793383931770795,51.0
ITAPIRANGA,0.2178401059336367,0.6730762253960665,0.2330289750432811,0.3746484354576615,1.0,0.9848574364746696,0.0333721741379961,0.8696901292838087,0.8609899674870594,0.5721687283870809,0.2259642761642303,0.3990665022756556,0.12872630070349256,0.6280715738339809,5.0
ITAPOA,0.1053555815281176,0.7600061196644949,0.0034094147785236,0.2895903719903787,0.0578822930758442,0.599688966072875,0.2416712432319617,0.119228401395444,0.4271533460084531,0.0365666545259965,0.1209057857127677,0.0787362201193821,0.009739630774649987,0.047111224145638536,288.0
ITUPORANGA,0.0943734581424283,0.7881942914714508,0.1465267175363915,0.3430314890500902,0.0798518549485799,0.1395408612287364,0.4186606741888701,0.4690939332735697,0.3729403820917544,0.1904754756754367,0.3356439995039724,0.2630597375897046,0.03365330972615635,0.16387135613614,207.0
JABORA,0.114931667670482,0.8081835647269079,0.4461125707845206,0.4564092677273035,0.1567637536882817,0.451247084158259,0.3447349900758856,0.7208427389014295,0.5696199403036968,0.1650304527310875,0.2784139729643165,0.221722212847702,0.057643300949980054,0.28100408788455983,109.0
JACINTO MACHADO,0.0003422518150291,0.7387155369287307,0.1696641927274814,0.3029073271570804,0.1259085963453431,0.0261931832343976,0.5165557494293269,0.3545906012723166,0.3861838909998365,0.1717536635186754,0.2182228724293047,0.1949882679739901,0.02280932400358709,0.11092487279336921,259.0
JAGUARUNA,0.2424524456337751,0.8646262011652847,0.0660633123199667,0.3910473197063422,0.7108592805879739,0.3086427152288674,0.8877455163056641,0.3109651822970105,0.7211493449552715,0.211386054274997,0.3512511788961738,0.2813186165855854,0.07933283968339336,0.3869047069596062,37.0
JARAGUA DO SUL,0.1489960845269687,0.660387537304338,0.0042976287420036,0.2712270835244367,0.0670781019453908,0.3314227286049093,0.0446759587332894,0.4048486735495372,0.3084275196289094,0.4162184448542014,0.3071236014768736,0.3616710231655375,0.03025519038509726,0.14727981187454314,228.0
JARDINOPOLIS,0.0525592949562065,0.8493335409391577,0.2788842377884046,0.3935923578945896,0.2620708343158791,0.652261389847697,0.2766759815318685,0.8624050892673919,0.6878792065040504,0.0959491729576619,0.458920273017717,0.2774347229876894,0.07511378631725336,0.36630489758253654,46.0
JOACABA,0.1986770369620187,0.6284609696481438,0.0540146394910688,0.2937175487004104,0.1327479110359231,0.3998174631097532,0.3868587730824139,0.7096560324551294,0.5584630386879672,0.2547151673175252,0.290441321950888,0.2725782446342066,0.04471111707121233,0.21786183780784213,164.0
JOINVILLE,0.2570630490230667,0.6805347135285371,0.0030847573149775,0.3135608399555271,0.085384660815187,0.47955919420809,0.0263953335100121,0.3040327773728566,0.3517010928423132,0.2755704028045229,0.207084874693787,0.2413276387491549,0.026613537210180532,0.1294991974308537,238.0
