municipio,risk_norm
PRESIDENTE NEREU,0.09276325761774054
DIONISIO CERQUEIRA,0.0879215174367404
SANTA ROSA DO SUL,0.08787176536347296
BRUNOPOLIS,0.08283878736891645
ARAQUARI,0.08248442278773946
SANTA TEREZINHA,0.07655369707963511
URUBICI,0.07629648965928051
ALFREDO WAGNER,0.07030164055018213
ANGELINA,0.06885983438047151
BALNEARIO ARROIO DO SILVA,0.06833915420621632
BOM JARDIM DA SERRA,0.06740629233588932
SAO JOAQUIM,0.06498710014499906
CERRO NEGRO,0.06431477494158203
IMBUIA,0.06307772958471894
XAVANTINA,0.06302949941631958
CORONEL MARTINS,0.06256493703527774
PIRATUBA,0.06212938125414456
FLORIANOPOLIS,0.06178582731973643
ABDON BATISTA,0.05781213034982581
ZORTEA,0.05282002732264798
URUPEMA,0.04998124980637742
BALNEARIO BARRA DO SUL,0.04940308100491542
FREI ROGERIO,0.049387858925662824
IRINEOPOLIS,0.04867442038889996
ROMELANDIA,0.046706065952952326
ITAPOA,0.04332982128601109
SAO JOSE DO CERRITO,0.04240421918880768
ITAJAI,0.041555269201664184
BELA VISTA DO TOLDO,0.041120275859608646
PRESIDENTE CASTELLO BRANCO,0.03257839372371552
SAO FRANCISCO DO SUL,0.032250144833523155
PAINEL,0.028429915875158692
CHAPADAO DO LAGEADO,0.02741302252620937
ENTRE RIOS,0.02684729657039815
LEOBERTO LEAL,0.02097764450328253
OURO VERDE,0.0
