municipio,ano,hazard_mean,hazard_max,hazard_index
Jardinópolis,2002,0.46338108229290187,0.8465301131152552,0.6549555977040785
São Martinho,2002,0.3595621178489388,0.6382235382983261,0.49889282807363244
Alto Bela Vista,2002,0.5410744379264131,0.7545903849033996,0.6478324114149063
Jaraguá do Sul,2002,0.20475682102810244,0.4096395703096175,0.30719819566886
São Lourenço do Oeste,2002,0.42845031423550467,0.969122592479364,0.6987864533574344
Águas Frias,2002,0.48772639974572574,0.7707123203913177,0.6292193600685216
São Ludgero,2002,0.4332185822602996,0.5880011516321786,0.5106098669462391
Jaguaruna,2002,0.40743521704296143,0.9380942818505653,0.6727647494467633
Águas Mornas,2002,0.2816094401980793,0.5562053454305185,0.4189073928142989
José Boiteux,2002,0.3295067706462973,0.5836863635701911,0.4565965671082442
Saudades,2002,0.48598326957135746,0.7847026651504398,0.6353429673608987
Joinville,2002,0.19294086316146966,0.305337395502799,0.24913912933213433
Schroeder,2002,0.18016720752664467,0.3442372363191685,0.2622022219229066
Angelina,2002,0.27220648997725255,0.5145056650827855,0.393356077530019
Lacerdópolis,2002,0.4626067647325456,0.6958116783858148,0.5792092215591802
Anita Garibaldi,2002,0.4277106191208159,0.6242324397184363,0.5259715294196261
Jupiá,2002,0.42621199804903315,1.0,0.7131059990245165
São Miguel do Oeste,2002,0.5381514618079296,0.8754713135636406,0.7068113876857851
Joaçaba,2002,0.44696369666338565,0.7189991298826518,0.5829814132730187
Anchieta,2002,0.4633879243677964,0.9150107000917153,0.6891993122297558
São Pedro de Alcântara,2002,0.2921657030856464,0.5607284562140069,0.42644707964982664
Itapoá,2002,0.24737884398080912,0.5906546974196292,0.41901677070021914
São José,2002,0.3068036535621889,0.6633246407297051,0.48506414714594703
Itapiranga,2002,0.6011781083859868,0.9581492312051919,0.7796636697955894
Agrolândia,2002,0.32073667040855813,0.5276673800061147,0.4242020252073364
São João do Sul,2002,0.2922000817463864,0.7233223525459338,0.5077612171461601
Abdon Batista,2002,0.3699751588427446,0.5972596648231014,0.48361741183292306
