municipio,ano,risk_norm_without_GDP,risk_norm_without_GDP_lag1,hazard_index,hazard_index_lag1,hazard_index_lag2,risk_norm_without_GDP_lag2,risk_mean_3yr_without_GDP,climate_risk_index_without_GDP,vulnerability_index_without_GDP,real_gdp,va_industrial_2010,va_agro_2010,log_real_gdp,log_va_industrial_2010,log_va_agro_2010,gdp_growth_log,va_industrial_growth_log,va_agro_growth_log,growth_effect_0_1_risk_lag1_log_points,growth_effect_0_1_risk_lag1_percent_points,impact_note
IBIRAMA,2006,0.12140151439886743,0.13380685944788395,0.4093106109404268,0.4242593568645036,0.3501912894461012,0.10646719389079205,0.12055852257918115,0.014912427303792901,0.0654664878959394,619103.0879593896,81100.6829332206,9667.412462447,13.33602707731493,11.303446660946232,9.176515968612115,-0.025511085612608397,0.054537238942794275,-0.04336126191622469,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
IBIRAMA,2007,0.11918669514851948,0.12140151439886743,0.3786477969147728,0.4093106109404268,0.4242593568645036,0.13380685944788395,0.12479835633175695,0.015329009811475567,0.0722625952831524,613562.7426358727,89146.7696330286,14742.4154454937,13.327037807889008,11.398039387447211,9.598484022432991,-0.008989269425921265,0.09459272650097894,0.4219680538208763,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
IBIRAMA,2008,0.11035127961661287,0.11918669514851948,0.3575035073056114,0.3786477969147728,0.4093106109404268,0.12140151439886743,0.11697982972133325,0.012642409555152995,0.06805460229032385,607004.3427180264,82684.5744090333,10762.1427674788,13.316291224411474,11.32278833893473,9.283789955848643,-0.010746583477533989,-0.07525104851248088,-0.31469406658434806,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
IBIRAMA,2009,0.07608606001986541,0.11035127961661287,0.3469261129363099,0.3575035073056114,0.3786477969147728,0.11918669514851948,0.10187467826166592,0.01145405019543332,0.0556318854972244,641783.7192198704,79749.7022796481,9374.281832528992,13.37200663996292,11.286648287469566,9.145725243374093,0.05571541555144677,-0.03614005146516419,-0.13806471247455043,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
IBIRAMA,2010,0.12505701377182207,0.07608606001986541,0.4469092732529915,0.3469261129363099,0.3575035073056114,0.11035127961661287,0.10383145113610011,0.01850995348361072,0.0670061017145212,658418.0638712121,77022.0,10991.0,13.39759536398202,11.251846374312981,9.3048320350689,0.02558872401909973,-0.034801913156584874,0.15910679169480701,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
IBIRAMA,2011,0.08872087916846141,0.12505701377182207,0.3976036698769102,0.4469092732529915,0.3469261129363099,0.07608606001986541,0.09662131765338296,0.011517856728277348,0.06194929578129595,756852.3855714138,101852.32076975913,10590.056392929137,13.536923514159602,11.531279207549098,9.267670763692617,0.13932815017758138,0.27943283323611645,-0.037161271376282556,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
IBIRAMA,2012,0.07937248005335061,0.08872087916846141,0.3766516531570238,0.3976036698769102,0.4469092732529915,0.12505701377182207,0.09771679099787804,0.009778446493297503,0.056876300530334496,702108.1628789767,77927.70347179183,10253.802742943668,13.461842749314306,11.263536797287406,9.235403915074905,-0.07508076484529624,-0.26774241026169143,-0.032266848617712895,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
IBIRAMA,2013,0.08528052754661386,0.07937248005335061,0.3849511185774034,0.3766516531570238,0.3976036698769102,0.08872087916846141,0.08445796225614195,0.011532738862633856,0.054865471455787254,670485.7055077757,76639.85730402573,12086.207488142907,13.415757662323408,11.246872550743554,9.399820204417937,-0.04608508699089775,-0.016664246543852457,0.16441628934303232,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
IBIRAMA,2014,0.07884551283715618,0.08528052754661386,0.4115178092615197,0.3849511185774034,0.3766516531570238,0.07937248005335061,0.08116617347904022,0.010630248431260323,0.05029101917698845,683109.2183023281,71049.67946752589,12505.15668726054,13.434410035435398,11.171134622150198,9.433896373202076,0.018652373111990528,-0.07573792859335526,0.03407616878413933,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
IBIRAMA,2015,0.08930971670975789,0.07884551283715618,0.3856121805130762,0.4115178092615197,0.3849511185774034,0.08528052754661386,0.08447858569784265,0.008926719413664607,0.0458730844727452,636822.3615017452,62465.37205202895,10824.54226787314,13.364246028319373,11.04236763501611,9.289571267253631,-0.07016400711602522,-0.12876698713408885,-0.14432510594844494,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
