municipio,ano,exposure_index
ALFREDO WAGNER,2005,0.09237583297844686
ALFREDO WAGNER,2006,0.0805841319344188
ALFREDO WAGNER,2007,0.07444414292647775
ALFREDO WAGNER,2008,0.06088376270858146
ALFREDO WAGNER,2009,0.058148761543470213
ALFREDO WAGNER,2010,0.07298758847111148
ALFREDO WAGNER,2011,0.06161914733426533
ALFREDO WAGNER,2012,0.05662467899701047
ALFREDO WAGNER,2013,0.05699443209098595
ALFREDO WAGNER,2014,0.07623279629390474
ALFREDO WAGNER,2015,0.06807589137634229
ALFREDO WAGNER,2016,0.08360103268360472
ALFREDO WAGNER,2017,0.07874668935587083
ALFREDO WAGNER,2018,0.06959488085978566
ALFREDO WAGNER,2019,0.07727013674118893
ALFREDO WAGNER,2020,0.07418037070912586
ALFREDO WAGNER,2021,0.06589547338671693
ALFREDO WAGNER,2022,0.079299096572994
ALFREDO WAGNER,2023,0.0811040770395908
ALTO BELA VISTA,2002,0.08477002882442067
ALTO BELA VISTA,2003,0.06955956143620629
ALTO BELA VISTA,2004,0.07017052958861408
ALTO BELA VISTA,2005,0.08342681335598758
ALTO BELA VISTA,2006,0.0681582495923715
ALTO BELA VISTA,2007,0.06619261385081855
ALTO BELA VISTA,2008,0.07256442527176973
ALTO BELA VISTA,2009,0.08148345022622484
ALTO BELA VISTA,2010,0.06686724316902602
ALTO BELA VISTA,2011,0.07987138533690538
ALTO BELA VISTA,2012,0.09040037493749317
ALTO BELA VISTA,2013,0.0821570929773277
ALTO BELA VISTA,2014,0.08854313689124169
ALTO BELA VISTA,2015,0.11296631540882467
ALTO BELA VISTA,2016,0.1182170373935251
ALTO BELA VISTA,2017,0.09890413096791412
ALTO BELA VISTA,2018,0.08510503714393393
ALTO BELA VISTA,2019,0.11303478645331377
ALTO BELA VISTA,2020,0.12415860059302683
ALTO BELA VISTA,2021,0.10626698199188109
ALTO BELA VISTA,2022,0.1044131876068608
ALTO BELA VISTA,2023,0.11332041645418003
ANCHIETA,2002,0.11765370389301526
ANCHIETA,2003,0.14613288973202085
ANCHIETA,2004,0.14810315996125134
ANCHIETA,2005,0.15243646610112152
ANCHIETA,2006,0.1918727612886187
ANCHIETA,2007,0.19859573649056042
ANCHIETA,2008,0.16891613161704827
ANCHIETA,2009,0.18101429362572186
ANCHIETA,2010,0.13810193783705163
ANCHIETA,2011,0.12312625152581506
ANCHIETA,2012,0.14423581983369943
ANCHIETA,2013,0.14946729287460533
